artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
The TKO's (2),Don't Pull The Plug,1996,US,"Vinyl, 7"", Single, Repress Red, Clear",Public Square Records – none,7.35,4,New Submission
Spodee Boy,Red State,2017,US,Cassette,Drop Medium – UM-015,4.60,1,New Submission
Spodee Boy,Sterile World,2016,US,"Cassette, Limited Edition",Designer Medium – UM-009,4.00,4,New Submission
"Datenight, Spodee Boy","Split 7""",2017,US,"Vinyl, 7"", 45 RPM, Limited Edition",Drop Medium – UM-021,3.00,5,New Submission
Plastic Bertrand,Ça Plane Pour Moi,1977,France,"Vinyl, 7"", 45 RPM, Single","Vogue – 45. X. 140.316, Vogue – 45 X 140316, Vogue – 45. X. 140316",1.22,11,
Los Reactors,Dead In The Suburbs,2017,Spain,"Vinyl, 7"", Reissue",Paramecium Records – PAR-023,49.99,3,Recently Edited
The Ejectors,Hydrohead,2006,Italy,"Vinyl, LP, Album","Rave Up Records – RUR 046, Rave Up Records – 0046",25.29,2,Recently Edited
Ed McCurdy,"Blood, Booze 'N Bones",1956,US,"Vinyl, LP, Album, Mono",Elektra – EKL-108,7.45,3,New Submission
The Licks (2),1970's EP,2015,UK,"Vinyl, 7"", 45 RPM, EP, Reissue",Overground Records – OVER 145,18.00,2,Recently Edited
The TKO's (2),Anthem,1996,US,"Vinyl, 7"", EP | Vinyl Pants – 001",,5.75,3,Recently Edited
Teenage Knockouts,"Japanese Murdercycles, Guitar's And Gun's",1999,US,"Vinyl, 10"", 33 ⅓ RPM",Dead Beat Records (2) – DB26,8.00,4,New Submission
The Queers,My Old Man's A Fatso,1994,US,"Vinyl, 7""",Woundup Records – WR-07,18.00,4,Recently Edited
Templars*,Out Of The Darkness,2008,US,"Vinyl, 7"", 45 RPM, Single",Templecombe – 682,25.00,1,New Submission
Templars* / Oxblood,Powerfist EP,1997,US,"Vinyl, 7"", 45 RPM, EP, Repress Yellow/Black","Vulture Rock Records – Volt-2, Vulture Rock Records – Volt No. 2",59.00,1,
The Vindictives,Disturbia,1993,US,"Vinyl, 7"", EP",V. M. L. Records – VML 623,60.00,1,
The Vindictives,Basket Case,1991,US,"Vinyl, 7"", 45 RPM, EP, Stereo",V. M. L. Records – 123,33.00,4,Recently Edited
The Vindictives,Rocks In My Head,1994,US,"Vinyl, 7"", 45 RPM, Stereo","Lookout! Records – lookout oo89, Lookout! Records – LOOKOUT 0089, Lookout! Records – Lk 089",9.20,17,Recently Edited
The Vindictives,Alarm Clocks,1995,US,"Vinyl, 7"", 45 RPM",Lookout! Records – LK112,5.51,17,New Submission
The Hollywood Killers,Goodbye Suicide,2016,US,"Vinyl, 7"", 45 RPM, Reissue",Mighty Mouth Music – MMM-021,,,
Vibram 94,Original cassette of recording,,USA & Canada,Cassette,,,,Recently Edited
The 4 Skins*,The Wonderful World Of The 4 Skins (The Best Of The 4 Skins),1996,UK,"Vinyl, LP, Compilation, Limited Edition, Reissue",Step-1 Music – STEP LP27,19.00,3,New Submission
The Hollywood Squares,Hillside Strangler: Restrangled,2006,Italy,"Vinyl, LP, Compilation","Rave Up Records – RUR 047, Rave Up Records – 0047",30.00,5,New Submission
The Neckbones,64 Days,1998,US,"Vinyl, 7"", 45 RPM Red Vinyl",Misprint Records – msp 0040,2.99,6,Recently Edited
The Neckbones,Hit Me !,1997,US,"Vinyl, 7""",Sympathy For The Record Industry – SFTRI 508,8.97,3,Recently Edited
The Neckbones,Souls On Fire,1997,US,"Vinyl, LP, Album",Fat Possum Records – 80304-1,9.88,7,
Alberto Y Lost Trios Paranoias,Snuff Rock,1977,UK,"Vinyl, 7"", 45 RPM, EP Pushout Centre",Stiff Records – LAST 2,2.16,90,Recently Edited
The Skulls (3),Babies,2002,US,"Vinyl, 7"", 45 RPM",Blazing Guns Records – GUN001,2.00,10,New Submission
Haunted Head,Screaming / 98 Shutdown,2017,US,"Vinyl, 7"", 45 RPM, Limited Edition Red Cover",Public Square Records – Public Square 2,,,New Submission
The Plain Dealers,True Cleveland Scum...,2011,US,"Vinyl, 7"", 33 ⅓ RPM, EP",Public Square Records – 002,,,
Guttersnipe,Never Surrender Never Give In,1998,Austria,"Vinyl, 7"", 33 ⅓ RPM","DSS Records – DSS99200, DSS Records – dss99200",7.47,9,
Public Disgrace,Toxteth,1982,UK,"Vinyl, 7"", 45 RPM",Probe Plus – PP2,4.05,16,New Submission
The Sudden Jerks,Sudden Jerks,2014,UK,"Vinyl, 7"", Limited Edition, White Label",No Front Teeth Records – NFTR 143,6.67,2,New Submission
Stalin Video,Vivisection,2014,UK,"Vinyl, 7"", Single Sided, Limited Edition",No Front Teeth Records – NFTR 119,5.74,4,New Submission
The Plain Dealers,Don't Pull The Plug,2014,UK,"Vinyl, 7"", Limited Edition Green Clear",No Front Teeth Records – NFTR147,10.99,4,New Submission
The Plain Dealers,Get What You Get,2013,UK,"Vinyl, 12"", Mini-Album, Limited Edition",No Front Teeth Records – NFTR 137,9.20,1,New Submission
Midnite Snaxxx,A Guy Like That / Jackie,2011,US,"Vinyl, 7""",Total Punk – TPR-02,13.79,1,New Submission
The Fingers (4),Isolation,1978,US,"Vinyl, 7"", 45 RPM",Paradox Records (8) – 8072-20,,,New Submission
The Pagans*,Hollywood Or Die,2018,US,"Vinyl, 7"", 45 RPM, Record Store Day, Single White",Jett Plastic Recordings – JPR-048,4.00,10,Recently Edited
Young Identities,New Trends EP,2011,US,"Vinyl, 7"", 45 RPM, EP, Reissue",540 Records – 540-022,11.42,2,
Young Identities,EP,2010,US,"Vinyl, 7"", EP, 45 RPM, Reissue",540 Records – 540-018,7.99,2,New Submission
The Thought Criminals (2),Hilton Bomber,2006,Australia,"Vinyl, 7"", 45 RPM, EP, Reissue, Remastered","Ascension Records (5) – ANSI 05, Doublethink – DTDT 1, Doublethink – DTDT1",24.65,2,New Submission
News (4),Dirty Lies,2012,Australia,"Vinyl, 7"", Single, Reissue",Not On Label – none,10.56,6,Recently Edited
Last Words*,Todays Kidz,1979,UK,"Vinyl, 7"", 45 RPM, Single",Remand Records – REMAND 2,12.29,17,
The Chosen Few (6),The Joke's On Us!,2011,US,"Vinyl, 12"", 45 RPM, EP, Reissue Clear","Going Underground Records – GOING UNDERGROUND 22, Going Underground Records – #22",18.00,2,
Hates,No Talk In The Eighties,1979,US,"Vinyl, 7"", 33 ⅓ RPM",Faceless Records – 071279,145.00,3,
The Boys (2),Brickfield Nights / Teacher's Pet,1978,UK,"Vinyl, 7"", 45 RPM, Single",NEMS – NES 116,13.77,14,New Submission
Eyes,TAQN,2016,Spain,"Vinyl, 7"", 45 RPM, Single, Reissue","Dangerhouse – IZE-45, Munster Records – MR 7295",11.49,3,
Rhino 39,Xerox / No Compromise,2016,Spain,"Vinyl, 7"", 45 RPM, Single, Reissue","Munster Records – MR 7296, Dangerhouse – RH-39",8.37,11,New Submission
The Exit (2),The Exit E.P.,2014,US,"Vinyl, 7"", 45 RPM, EP Gatefold",Permanent Records (2) – PERM-040,9.49,1,New Submission
Blitz (3),All Out Attack E.P.,2015,Germany,"Vinyl, 7"", 45 RPM, EP, Limited Edition, Reissue Red",Mad Butcher Classics – MBC 043,51.72,1,
Midnite Snaxxx,Let Me Do What I Want / Faded Pictures,2018,Austria,"Vinyl, 7"", 45 RPM, Single, Limited Edition",Bachelor Records – BR-102,6.32,11,New Submission
Sheer Terror,Pall In The Family,2018,US,"Vinyl, 7"", 33 ⅓ RPM Yellow With Red Splatter",Reaper Records (2) – RR82,9.97,3,New Submission
Sheer Terror,Pall In the Family,2018,US,"Vinyl, 7"", 33 ⅓ RPM, EP Green With Pink Splatter",Reaper Records (2) – RR82,8.00,7,New Submission
The Queer Pills A.K.A. The Angry Samoans*,The Depraved,1981,US,"Vinyl, 7"", 45 RPM",Homophobic Records – HOMO 02,16.88,10,New Submission
The Guns,The Guns,2012,US,"2 x Vinyl, LP, Album, Compilation Gatefold","Smog Veil Records – SV109, Red Hour Records – RH8",16.00,6,Recently Edited
Bobby Soxx,(Learn To) Hate In The 80's / Scavenger Of Death,2001,US,"Vinyl, 7"", Single, Reissue, Unofficial Release Orange Sleeve",Kaplow! – BLM-007,,,New Submission
Royale Coachmen,Killer Of Men / Standing Over There,1966,US,"Vinyl, 7"", 45 RPM, Single",Jowar Records – J. W. 103,74.99,3,New Submission
The Joneses*,Criminal History Revisited,2008,US,"2 x Vinyl, LP, Compilation",Full Breach Kicks – FBK-020,75.00,1,
Blitz (3),All Out Attack E.P.,2013,Canada,"Vinyl, 7"", 45 RPM, EP, Reissue",Ugly Pop Records – UP038,12.15,8,Recently Edited
Freestone,Bummer Bitch,2010,US,"Vinyl, 7"", Single, Reissue",Last Laugh Records (2) – HAW-001,25.00,7,Recently Edited
The Reactors (6),Seduction Center,2010,US,"Vinyl, 7"", 45 RPM, Single, Reissue, Stereo",Last Laugh Records (2) – HAW-002,6.00,7,Recently Edited
The Features (5),Floozie Of The Neighborhood B/W I Wanna Be Your Man,2012,US,"Vinyl, 7"", 45 RPM, Reissue",Last Laugh Records (2) – HAW-024,6.00,4,New Submission
Fire Exit,Time Wall,2013,US,"Vinyl, 7"", 45 RPM, Single, Reissue",Last Laugh Records (2) – HAW-031,7.00,2,Recently Edited
The Injections,Prison Walls,2010,US,"Vinyl, 7"", Single, Reissue",Last Laugh Records (2) – HAW-006,14.08,1,
Rikk Agnew,All By Myself,2008,US,"Vinyl, LP, Album, Repress blue marbled","Frontier Records – FLP 1009, Frontier Records – 31009-1",48.00,3,New Submission
Nervebreakers,We Want Everything!,2011,US,"Vinyl, LP, Album, Reissue",Get Hip Recordings – GH-1032H,15.00,7,New Submission
Pink Panzer (2),Man Thunder,2014,US,"Vinyl, 7"", 45 RPM Pink",Chapter Eleven Records – #23,44.71,1,New Submission
